data_set,arch,forget_cls,method,budget_b,lambda,mask_mode,epochs_run,best_epoch,forget_acc,retain_acc,overall_acc,baseline_forget,baseline_retain,baseline_overall,forget_drop,retain_drop,score,time_s,
CIFAR100,ResNet-18,apple,PS-PCGrad,0.25,2,random,25,4,0,68.99,68.3,91,78.45,78.58,91,9.46,81.54,22.5,
CIFAR100,ResNet-18,apple,PS-PCGrad,0.25,2,structured,25,3,0,52.64,52.11,91,78.45,78.58,91,25.82,65.18,17.2,
CIFAR100,ResNet-18,apple,PS-PCGrad,0.25,2.5,random,25,4,0,64.84,64.19,91,78.45,78.58,91,13.62,77.38,23,
CIFAR100,ResNet-18,apple,PS-PCGrad,0.25,2.5,structured,25,2,0,71.37,70.66,91,78.45,78.58,91,7.08,83.92,11.1,
CIFAR100,ResNet-18,apple+otter+seal,GradientAscent,,,,25,1,20.67,76.08,74.42,67,78.94,78.58,46.33,2.86,43.47,12.7,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,0.1,,25,1,37.33,78.19,76.96,67,78.94,78.58,29.67,0.75,28.92,14.6,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,0.15,,25,1,39,78.08,76.91,67,78.94,78.58,28,0.86,27.14,14.3,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,0.25,,25,1,38,78.32,77.11,67,78.94,78.58,29,0.62,28.38,14.4,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,0.5,,25,1,38,78.33,77.12,67,78.94,78.58,29,0.61,28.39,14.5,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,0.75,,25,1,38,78.11,76.91,67,78.94,78.58,29,0.82,28.18,14.7,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,1,,25,1,37.33,78.16,76.94,67,78.94,78.58,29.67,0.77,28.9,14.3,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,1.5,,25,1,39,78.07,76.9,67,78.94,78.58,28,0.87,27.13,14.4,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,2,,25,2,0,40.56,39.34,67,78.94,78.58,67,38.38,28.62,14.6,
CIFAR100,ResNet-18,apple+otter+seal,LinearScalar,,2.5,,25,2,0,49.23,47.75,67,78.94,78.58,67,29.71,37.29,14.2,
CIFAR100,ResNet-18,apple+otter+seal,PCGrad,,,,25,1,39.33,78.06,76.9,67,78.94,78.58,27.67,0.88,26.79,16.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.1,random,25,1,51,78.29,77.47,67,78.94,78.58,16,0.65,15.35,34.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.1,structured,25,23,0,71.82,69.67,67,78.94,78.58,67,7.11,59.89,193.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.25,random,25,1,50.33,78.33,77.49,67,78.94,78.58,16.67,0.61,16.06,33.6,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.25,structured,25,10,0,63.78,61.87,67,78.94,78.58,67,15.15,51.85,84.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.5,random,25,4,51.33,78.47,77.66,67,78.94,78.58,15.67,0.46,15.21,59.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.5,structured,25,5,0,55.19,53.53,67,78.94,78.58,67,23.75,43.25,42.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.75,random,25,3,50,78.41,77.56,67,78.94,78.58,17,0.53,16.47,50.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,0.75,structured,25,4,0,46.96,45.55,67,78.94,78.58,67,31.98,35.02,33.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,1,random,25,3,50.67,78.26,77.43,67,78.94,78.58,16.33,0.68,15.65,49.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,1,structured,25,3,0,48.05,46.61,67,78.94,78.58,67,30.89,36.11,25.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,2,random,25,1,51,78.41,77.59,67,78.94,78.58,16,0.53,15.47,32.7,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.001,2,structured,25,2,1.33,58.02,56.32,67,78.94,78.58,65.67,20.92,44.75,25,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.1,random,25,1,50.67,78.42,77.59,67,78.94,78.58,16.33,0.52,15.81,33.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.1,structured,25,17,0,71.97,69.81,67,78.94,78.58,67,6.97,60.03,142.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.25,random,25,14,49,78.41,77.53,67,78.94,78.58,18,0.53,17.47,143.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.25,structured,25,7,0,65.56,63.59,67,78.94,78.58,67,13.38,53.62,58.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.5,random,25,25,42.33,77.7,76.64,67,78.94,78.58,24.67,1.24,23.43,211.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.5,structured,25,4,0,51.73,50.18,67,78.94,78.58,67,27.21,39.79,33.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.75,random,25,2,52,78.44,77.65,67,78.94,78.58,15,0.49,14.51,42.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,0.75,structured,25,3,0,45.32,43.96,67,78.94,78.58,67,33.62,33.38,25.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,1,random,25,25,28.33,75.88,74.45,67,78.94,78.58,38.67,3.06,35.61,208.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,1,structured,25,2,9,68.23,66.45,67,78.94,78.58,58,10.71,47.29,24.6,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,2,random,25,18,17.67,42.3,41.56,67,78.94,78.58,49.33,36.64,12.69,174.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.003,2,structured,25,1,39,78.35,77.17,67,78.94,78.58,28,0.59,27.41,17.3,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.005,1,random,25,25,17,73.37,71.68,67,78.94,78.58,50,5.57,44.43,208.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.005,1,structured,25,2,6,64.59,62.83,67,78.94,78.58,61,14.35,46.65,25,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.005,2,random,25,25,0.33,55.94,54.27,67,78.94,78.58,66.67,23,43.67,210.6,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.005,2,structured,25,1,38,78.31,77.1,67,78.94,78.58,29,0.63,28.37,16.7,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.01,1,random,25,25,0.67,62.58,60.72,67,78.94,78.58,66.33,16.36,49.97,207.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.01,1,structured,25,2,2,57.56,55.89,67,78.94,78.58,65,21.38,43.62,25.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.01,2,random,25,14,0,54.27,52.64,67,78.94,78.58,67,24.67,42.33,117.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.01,2,structured,25,1,37,78.13,76.9,67,78.94,78.58,30,0.8,29.2,17,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.1,random,25,25,43.33,78.27,77.22,67,78.94,78.58,23.67,0.67,23,209.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.1,structured,25,11,0,72.28,70.11,67,78.94,78.58,67,6.66,60.34,90.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.15,random,25,25,37,77.92,76.69,67,78.94,78.58,30,1.02,28.98,207.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.15,structured,25,7,0,69.92,67.82,67,78.94,78.58,67,9.02,57.98,58.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.25,random,25,25,25,76.4,74.86,67,78.94,78.58,42,2.54,39.46,209,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.25,structured,25,5,0,65.66,63.69,67,78.94,78.58,67,13.28,53.72,41.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.5,random,25,24,0.33,64.89,62.95,67,78.94,78.58,66.67,14.05,52.62,211.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.5,structured,25,3,0,50.91,49.38,67,78.94,78.58,67,28.03,38.97,25.3,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.75,random,25,17,0,58.14,56.4,67,78.94,78.58,67,20.79,46.21,143.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.02,0.75,structured,25,2,5,64.52,62.73,67,78.94,78.58,62,14.42,47.58,25.6,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.1,random,25,25,39.67,78.16,77.01,67,78.94,78.58,27.33,0.77,26.56,212.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.1,structured,25,10,0,72.44,70.27,67,78.94,78.58,67,6.49,60.51,85.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.25,random,25,25,10.33,72.27,70.41,67,78.94,78.58,56.67,6.67,50,208.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.25,structured,25,5,0,65.77,63.8,67,78.94,78.58,67,13.16,53.84,41.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.5,random,25,18,0,57.67,55.94,67,78.94,78.58,67,21.27,45.73,150.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.5,structured,25,3,0,49.34,47.86,67,78.94,78.58,67,29.6,37.4,25.3,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.75,random,25,12,0,62.36,60.49,67,78.94,78.58,67,16.58,50.42,100.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.03,0.75,structured,25,2,2.33,63.54,61.7,67,78.94,78.58,64.67,15.4,49.27,25.3,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,1,random,25,7,0,54.84,53.19,67,78.94,78.58,67,24.1,42.9,58.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,1,structured,25,2,0,44.34,43.01,67,78.94,78.58,67,34.6,32.4,16.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,1.5,random,25,5,0,57.65,55.92,67,78.94,78.58,67,21.29,45.71,42.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,1.5,structured,25,1,39,78.38,77.2,67,78.94,78.58,28,0.56,27.44,17.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,2,random,25,4,0.67,60.16,58.38,67,78.94,78.58,66.33,18.77,47.56,41.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,2,structured,25,1,34.67,78.15,76.85,67,78.94,78.58,32.33,0.78,31.55,16.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,2.5,random,25,4,0,50.12,48.62,67,78.94,78.58,67,28.81,38.19,33.1,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.05,2.5,structured,25,1,30.33,77.97,76.54,67,78.94,78.58,36.67,0.97,35.7,16.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,1,random,25,5,0,50.18,48.67,67,78.94,78.58,67,28.76,38.24,41.7,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,1,structured,25,2,0,42.4,41.13,67,78.94,78.58,67,36.54,30.46,16.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,1.5,random,25,4,0,42.44,41.17,67,78.94,78.58,67,36.49,30.51,33.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,1.5,structured,25,1,36.67,78.27,77.02,67,78.94,78.58,30.33,0.67,29.66,16.7,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,2,random,25,3,0,54.34,52.71,67,78.94,78.58,67,24.6,42.4,24.9,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,2,structured,25,1,32.33,78.13,76.76,67,78.94,78.58,34.67,0.8,33.87,16.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,2.5,random,25,3,0,46.22,44.83,67,78.94,78.58,67,32.72,34.28,25,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.1,2.5,structured,25,1,28.33,78.07,76.58,67,78.94,78.58,38.67,0.87,37.8,16.5,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,1,random,25,3,0,48.75,47.29,67,78.94,78.58,67,30.19,36.81,25,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,1,structured,25,1,41,78.29,77.17,67,78.94,78.58,26,0.65,25.35,16.8,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,1.5,random,25,2,4.67,70.18,68.21,67,78.94,78.58,62.33,8.76,53.57,24.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,1.5,structured,25,1,36,78.25,76.98,67,78.94,78.58,31,0.69,30.31,16.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,2,random,25,2,0,59.22,57.44,67,78.94,78.58,67,19.72,47.28,17.2,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,2,structured,25,1,29,78.01,76.54,67,78.94,78.58,38,0.93,37.07,16.3,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,2.5,random,25,2,0,49.23,47.75,67,78.94,78.58,67,29.71,37.29,16.4,
CIFAR100,ResNet-18,apple+otter+seal,PS-PCGrad,0.25,2.5,structured,25,1,26.33,77.97,76.42,67,78.94,78.58,40.67,0.97,39.7,16.5,
CIFAR100,ResNet-18,otter,GradientAscent,,,,25,2,0,74.22,73.48,52,78.85,78.58,52,4.63,47.37,10.4,
CIFAR100,ResNet-18,otter,LinearScalar,,1,,25,3,0,50.6,50.09,52,78.85,78.58,52,28.25,23.75,16.7,
CIFAR100,ResNet-18,otter,LinearScalar,,1.5,,25,3,0,53.68,53.14,52,78.85,78.58,52,25.17,26.83,16.2,
CIFAR100,ResNet-18,otter,LinearScalar,,2,,25,3,0,53.6,53.06,52,78.85,78.58,52,25.25,26.75,16.4,
CIFAR100,ResNet-18,otter,LinearScalar,,2.5,,25,3,0,52.8,52.27,52,78.85,78.58,52,26.05,25.95,16.7,
CIFAR100,ResNet-18,otter,PCGrad,,,,25,3,0,48.56,48.07,52,78.85,78.58,52,30.29,21.71,17.3,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.001,1,random,25,1,34,78.24,77.8,52,78.85,78.58,18,0.61,17.39,23.3,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.001,1,structured,25,4,0,71.32,70.61,52,78.85,78.58,52,7.53,44.47,23.2,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.001,2,random,25,1,31,78.35,77.88,52,78.85,78.58,21,0.49,20.51,22.8,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.001,2,structured,25,3,0,70.46,69.76,52,78.85,78.58,52,8.38,43.62,17.7,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.003,1,random,25,1,33,78.16,77.71,52,78.85,78.58,19,0.69,18.31,23.1,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.003,1,structured,25,4,0,64.26,63.62,52,78.85,78.58,52,14.59,37.41,23.1,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.003,2,random,25,4,30,78.37,77.89,52,78.85,78.58,22,0.47,21.53,40.5,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.003,2,structured,25,3,0,58.62,58.03,52,78.85,78.58,52,20.23,31.77,17.1,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.005,1,random,25,25,13,77.91,77.26,52,78.85,78.58,39,0.94,38.06,147.7,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.005,1,structured,25,4,0,59.67,59.07,52,78.85,78.58,52,19.18,32.82,23.3,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.005,2,random,25,25,2,74.89,74.16,52,78.85,78.58,50,3.96,46.04,145,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.005,2,structured,25,3,0,54.13,53.59,52,78.85,78.58,52,24.72,27.28,17.5,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.01,1,random,25,25,4,76,75.28,52,78.85,78.58,48,2.85,45.15,145.9,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.01,1,structured,25,3,0,72.54,71.81,52,78.85,78.58,52,6.31,45.69,17.9,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.01,2,random,25,18,0,73.18,72.45,52,78.85,78.58,52,5.67,46.33,103.7,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.01,2,structured,25,3,0,47.41,46.94,52,78.85,78.58,52,31.43,20.57,17.4,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,1,random,25,9,0,74.57,73.82,52,78.85,78.58,52,4.28,47.72,52,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,1,structured,25,3,0,63.39,62.76,52,78.85,78.58,52,15.45,36.55,17.2,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,1.5,random,25,8,0,71.59,70.87,52,78.85,78.58,52,7.26,44.74,46.1,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,1.5,structured,25,3,0,47.76,47.28,52,78.85,78.58,52,31.09,20.91,17.4,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,2,random,25,6,0,73.7,72.96,52,78.85,78.58,52,5.15,46.85,34.8,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,2,structured,25,2,0,73.22,72.49,52,78.85,78.58,52,5.63,46.37,11.8,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,2.5,random,25,6,0,71.88,71.16,52,78.85,78.58,52,6.97,45.03,34.6,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.05,2.5,structured,25,2,0,70.23,69.53,52,78.85,78.58,52,8.62,43.38,11.6,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,1,random,25,7,0,70.37,69.67,52,78.85,78.58,52,8.47,43.53,39.9,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,1,structured,25,3,0,60.87,60.26,52,78.85,78.58,52,17.98,34.02,17,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,1.5,random,25,5,0,73.43,72.7,52,78.85,78.58,52,5.41,46.59,28.8,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,1.5,structured,25,3,0,41.87,41.45,52,78.85,78.58,52,36.98,15.02,17.5,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,2,random,25,5,0,67.36,66.69,52,78.85,78.58,52,11.48,40.52,28.5,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,2,structured,25,2,0,71.73,71.01,52,78.85,78.58,52,7.12,44.88,11.6,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,2.5,random,25,4,0,74.37,73.63,52,78.85,78.58,52,4.47,47.53,22.4,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.1,2.5,structured,25,2,0,66.1,65.44,52,78.85,78.58,52,12.75,39.25,11.3,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,1,random,25,4,0,73.53,72.79,52,78.85,78.58,52,5.32,46.68,23.4,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,1,structured,25,3,0,54.75,54.2,52,78.85,78.58,52,24.1,27.9,17.4,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,1.5,random,25,4,0,64.41,63.77,52,78.85,78.58,52,14.43,37.57,22.6,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,1.5,structured,25,2,0,74.37,73.63,52,78.85,78.58,52,4.47,47.53,11.6,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,2,random,25,3,0,72.56,71.83,52,78.85,78.58,52,6.29,45.71,17.2,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,2,structured,25,2,0,69.22,68.53,52,78.85,78.58,52,9.63,42.37,11.2,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,2.5,random,25,3,0,69.56,68.86,52,78.85,78.58,52,9.29,42.71,17.2,
CIFAR100,ResNet-18,otter,PS-PCGrad,0.25,2.5,structured,25,2,0,65.02,64.37,52,78.85,78.58,52,13.83,38.17,11.6,
CIFAR100,ResNet-18,seal,GradientAscent,,,,25,2,0,73.8,73.06,58,78.79,78.58,58,4.99,53.01,10.5,
CIFAR100,ResNet-18,seal,LinearScalar,,1,,25,3,0,57.42,56.85,58,78.79,78.58,58,21.36,36.64,16.4,
CIFAR100,ResNet-18,seal,LinearScalar,,1.5,,25,3,0,56.99,56.42,58,78.79,78.58,58,21.8,36.2,16.6,
CIFAR100,ResNet-18,seal,LinearScalar,,2,,25,3,0,57.29,56.72,58,78.79,78.58,58,21.49,36.51,16.4,
CIFAR100,ResNet-18,seal,LinearScalar,,2.5,,25,3,0,58.08,57.5,58,78.79,78.58,58,20.71,37.29,16.5,
CIFAR100,ResNet-18,seal,PCGrad,,,,25,3,0,54.98,54.43,58,78.79,78.58,58,23.81,34.19,18.2,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.001,1,random,25,1,44,78.36,78.02,58,78.79,78.58,14,0.42,13.58,23.1,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.001,1,structured,25,4,0,69.64,68.94,58,78.79,78.58,58,9.15,48.85,23.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.001,2,random,25,1,43,78.33,77.98,58,78.79,78.58,15,0.45,14.55,24,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.001,2,structured,25,3,0,67.46,66.79,58,78.79,78.58,58,11.32,46.68,17.9,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.003,1,random,25,1,42,78.11,77.75,58,78.79,78.58,16,0.68,15.32,23.4,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.003,1,structured,25,4,0,61.14,60.53,58,78.79,78.58,58,17.65,40.35,23.6,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.003,2,random,25,3,41,78.24,77.87,58,78.79,78.58,17,0.55,16.45,35,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.003,2,structured,25,3,0,53.78,53.24,58,78.79,78.58,58,25.01,32.99,18,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.005,1,random,25,8,37,78.13,77.72,58,78.79,78.58,21,0.66,20.34,63.8,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.005,1,structured,25,3,0,73.9,73.16,58,78.79,78.58,58,4.89,53.11,17.4,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.005,2,random,25,24,4,75.85,75.13,58,78.79,78.58,54,2.94,51.06,144.9,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.005,2,structured,25,3,0,48.36,47.88,58,78.79,78.58,58,30.42,27.58,17.6,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.01,1,random,25,1,43,78.21,77.86,58,78.79,78.58,15,0.58,14.42,22.9,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.01,1,structured,25,3,0,72.31,71.59,58,78.79,78.58,58,6.47,51.53,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.01,2,random,25,16,0,73.91,73.17,58,78.79,78.58,58,4.88,53.12,92.2,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.01,2,structured,25,2,2,75.8,75.06,58,78.79,78.58,56,2.99,53.01,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,1,random,25,10,0,72.44,71.72,58,78.79,78.58,58,6.34,51.66,58.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,1,structured,25,3,0,65.79,65.13,58,78.79,78.58,58,13,45,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,1.5,random,25,8,0,71.87,71.15,58,78.79,78.58,58,6.92,51.08,46.4,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,1.5,structured,25,3,0,47.51,47.03,58,78.79,78.58,58,31.28,26.72,18,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,2,random,25,6,0,73.67,72.93,58,78.79,78.58,58,5.12,52.88,34.6,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,2,structured,25,2,0,73.2,72.47,58,78.79,78.58,58,5.59,52.41,11.5,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,2.5,random,25,6,0,71.71,70.99,58,78.79,78.58,58,7.08,50.92,34.8,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.05,2.5,structured,25,2,0,69.79,69.09,58,78.79,78.58,58,9,49,11.7,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,1,random,25,7,0,71.12,70.41,58,78.79,78.58,58,7.67,50.33,40.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,1,structured,25,3,0,63.32,62.69,58,78.79,78.58,58,15.46,42.54,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,1.5,random,25,5,0,74.23,73.49,58,78.79,78.58,58,4.56,53.44,29.2,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,1.5,structured,25,2,2,75.25,74.52,58,78.79,78.58,56,3.54,52.46,17.2,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,2,random,25,5,0,68.17,67.49,58,78.79,78.58,58,10.62,47.38,28.9,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,2,structured,25,2,0,72.67,71.94,58,78.79,78.58,58,6.12,51.88,12,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,2.5,random,25,4,0,73.89,73.15,58,78.79,78.58,58,4.9,53.1,22.8,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.1,2.5,structured,25,2,0,68.12,67.44,58,78.79,78.58,58,10.67,47.33,11.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,1,random,25,4,0,74.33,73.59,58,78.79,78.58,58,4.45,53.55,23.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,1,structured,25,3,0,58.3,57.72,58,78.79,78.58,58,20.48,37.52,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,1.5,random,25,4,0,64.73,64.08,58,78.79,78.58,58,14.06,43.94,23.1,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,1.5,structured,25,2,0,74.56,73.81,58,78.79,78.58,58,4.23,53.77,11.5,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,2,random,25,3,0,73.44,72.71,58,78.79,78.58,58,5.34,52.66,17.3,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,2,structured,25,2,0,70.03,69.33,58,78.79,78.58,58,8.76,49.24,11.7,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,2.5,random,25,3,0,69.02,68.33,58,78.79,78.58,58,9.77,48.23,17.2,
CIFAR100,ResNet-18,seal,PS-PCGrad,0.25,2.5,structured,25,2,0,62.87,62.24,58,78.79,78.58,58,15.92,42.08,11.2,
